player_name,team,matches,minutes,tackles,interceptions,clearances,total_passes,completed_passes,pass_completion_pct,player,progressive_passes,tackles_p90,interceptions_p90,clearances_p90,progressive_passes_p90
Robin Hranáč,Czech Republic,3,270,1,0,9,92,80,86.95652173913044,Robin Hranáč,14,0.33333333333333337,0.0,3.0,4.666666666666667
Rúben Santos Gato Alves Dias,Portugal,4,360,4,1,16,406,379,93.34975369458128,Rúben Santos Gato Alves Dias,29,1.0,0.25,4.0,7.250000000000001
Samet Akaydin,Turkey,4,360,9,5,12,207,186,89.85507246376811,Samet Akaydin,29,2.25,1.25,3.0,7.250000000000001
Scott McKenna,Scotland,3,270,0,2,4,91,76,83.51648351648352,Scott McKenna,13,0.0,0.6666666666666667,1.3333333333333335,4.333333333333333
Solomon Kverkvelia,Georgia,3,270,4,0,15,62,54,87.09677419354838,Solomon Kverkvelia,9,1.3333333333333335,0.0,5.0,3.0
Stefan de Vrij,Netherlands,6,540,12,8,19,416,384,92.3076923076923,Stefan de Vrij,39,2.0,1.3333333333333335,3.166666666666667,6.499999999999999
Strahinja Pavlović,Serbia,3,270,10,5,12,178,135,75.84269662921348,Strahinja Pavlović,27,3.333333333333333,1.6666666666666665,4.0,9.0
Tomáš Holeš,Czech Republic,3,270,10,4,12,115,90,78.26086956521739,Tomáš Holeš,25,3.333333333333333,1.3333333333333335,4.0,8.333333333333332
Vanja Drkušić,Slovenia,4,360,13,3,16,103,80,77.66990291262135,Vanja Drkušić,25,3.2499999999999996,0.75,4.0,6.25
Virgil van Dijk,Netherlands,6,540,7,3,33,385,351,91.16883116883116,Virgil van Dijk,49,1.1666666666666667,0.5,5.5,8.166666666666668
Willi Orban,Hungary,3,270,5,3,16,131,112,85.49618320610686,Willi Orban,25,1.6666666666666665,1.0,5.333333333333334,8.333333333333332
William Saliba,France,6,540,7,6,24,365,349,95.61643835616438,William Saliba,18,1.1666666666666667,1.0,4.0,3.0
Wout Faes,Belgium,4,360,10,3,9,287,252,87.8048780487805,Wout Faes,30,2.5,0.75,2.25,7.5
